Plate ID,"R007_PEI Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:29:38 AM"
Scan Description,""
Scan Result ID,"22/03/19 3:20:34 AM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:29:38 AM - 22/03/19 2:46:58 AM"
Analysis Start Time,"22/03/19 3:20:34 AM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
SD of Target 2 Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,5.29086586017948,7.87845152232853,6.08554470506179,5.25515443672156,7.21488103431638,37.2781294654982,36.0959768618072,40.5526715508808,37.5754147690919,1.21875,
B,,12.0330240285984,10.2796034156565,8.15528426797716,42.084527820017,40.1478410738565,39.5251793676964,65.887455115983,62.1505561659957,57.8625240346768,0.769389669687354,
C,,7.55265526471714,48.0827373923288,5.81615880505349,6.82776230612139,6.12071502885659,6.54990510110126,26.1208564589122,28.3869968961169,34.7109667155585,13.8984176889183,
D,,7.45507970754793,3.79335669323114,8.94710093531953,9.45846303594557,25.9867518936615,18.4517046102878,51.9092052601118,49.662040174817,58.4244700482695,4.42639251962496,
E,,12.8891852640472,12.8181894857434,11.8098802439006,37.4958537605733,37.9013534452144,38.8975476758666,47.878024442625,49.7399542901243,51.876208180902,2.98682528497435,
F,,11.265098293861,11.3105203246065,12.066728985367,33.1742906261526,32.5404166578928,69.1179407324917,40.8707998427786,50.3388087275546,38.4767968662944,3.60883439429426,
G,,14.0113405838167,12.586843641312,12.7190383579312,35.0197777990402,38.1214170508658,34.9402157938473,46.0131511487493,45.1753447056578,45.0962737244962,3.38319245460207,
H,,13.0801512217962,13.4689034635719,14.5309258406649,36.8957612031799,36.3921939869772,36.0776199114851,44.034968189324,45.0808781816669,44.0593882632354,2.64798703415636,

AVG Target 2 Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,3071.3,508.75,297.844444444444,235.363636363636,6466.05263157895,1047.0303030303,3147.16437684004,3543.1900915455,3254.74185204346,48,
B,,4266.69230769231,626.608108108108,668.962264150943,2245.39698492462,4640.28409090909,2500.37288135593,5935.22677714784,5926.59872397582,5832.24665127021,32.6666666666667,
C,,1950.11111111111,7368.45833333333,254.457142857143,961.016949152542,1051.25,473.569620253165,2629.80967741936,2384.55194805195,2289.61212121212,2138.5,
D,,590.8,198.181818181818,1274.04651162791,1063.39215686275,1844.70652173913,1028.36065573771,3021.6644993498,3399.90929965557,4102.24574512246,268.833333333333,
E,,2004.58233970754,1822.03348109518,1781.89645473191,2841.83001043236,2892.47304567992,3064.85258579024,3984.2997318729,4003.52711408715,3087.57132446712,1876.05382226137,
F,,1873.85503021084,1760.3603366202,1780.29935614555,2576.58662275822,2599.59280256347,7436.87599743724,3257.11376829571,4225.03464168144,3071.24830812933,1861.22087805736,
